timestamp,tx,ty,tz,roll,pitch,yaw,speed
0.196600,0.003108,-0.001016,-0.003096,-89.954237,0.498159,-0.398525,0.000000
0.229933,0.007543,-0.003641,-0.003975,-89.918788,1.017753,-0.878258,0.156841
0.263266,0.012392,-0.005950,-0.006308,-89.732810,1.521437,-1.301549,0.175667
0.296598,0.016169,-0.006945,-0.006759,-89.653530,2.073043,-1.550854,0.117964
0.329931,0.018968,-0.006096,-0.005652,-89.843735,2.599337,-1.673829,0.093848
0.363264,0.022229,-0.002525,-0.006557,-90.167913,2.984241,-1.549884,0.147572
0.396597,0.024778,0.001698,-0.005871,-90.719910,3.115168,-1.223059,0.149406
0.429929,0.023868,0.006647,-0.005243,-91.203524,3.078532,-0.786715,0.152138
0.463262,0.023324,0.008498,-0.004251,-91.498921,2.916641,-0.342155,0.065077
0.496595,0.020929,0.009931,-0.004092,-91.573788,2.662312,-0.064017,0.083867
0.529928,0.018419,0.010917,-0.004234,-91.523580,2.339134,0.118537,0.080994
0.563260,0.017504,0.010351,-0.003160,-91.577961,2.016872,0.326098,0.045606
0.596593,0.015567,0.010585,-0.002758,-91.631606,1.774186,0.397632,0.059780
0.629926,0.013425,0.010169,-0.003493,-91.607352,1.576241,0.402696,0.069057
0.663259,0.013571,0.009653,-0.003989,-91.641622,1.365891,0.450640,0.021914
0.696591,0.013791,0.008873,-0.003845,-91.636721,1.230536,0.381564,0.024690
0.729924,0.016188,0.007351,-0.003321,-91.671533,1.298531,0.101105,0.086616
0.763257,0.020591,0.006585,-0.005562,-91.734429,1.752379,-0.243510,0.150007
0.796590,0.027599,0.008109,-0.008010,-91.845409,2.484433,-0.464496,0.227347
0.829922,0.035011,0.009909,-0.010896,-91.972196,3.367635,-0.499965,0.244670
0.863255,0.038158,0.012292,-0.014170,-92.015589,4.132349,-0.493819,0.153848
0.896588,0.041769,0.013972,-0.015778,-92.169347,4.708998,-0.418313,0.128855
0.929921,0.044342,0.014715,-0.016736,-92.368118,5.059052,-0.533138,0.085330
0.963253,0.046164,0.014591,-0.017329,-92.367748,5.194310,-0.760223,0.057584
0.996586,0.046755,0.013958,-0.016815,-92.410347,5.264417,-1.049603,0.030225
1.029919,0.046854,0.013557,-0.016083,-92.480597,5.248442,-1.197682,0.025232
1.063252,0.045736,0.014286,-0.015679,-92.537071,5.232981,-1.237401,0.041859
1.096584,0.044688,0.015795,-0.014460,-92.759713,5.082181,-1.136823,0.066132
1.129917,0.042341,0.016734,-0.012041,-93.166565,4.768204,-1.022902,0.104975
1.163250,0.037729,0.017287,-0.010249,-93.281390,4.263598,-0.871586,0.149379
1.196583,0.033319,0.017072,-0.011181,-93.097573,3.657168,-0.647430,0.135377
1.229916,0.027633,0.017871,-0.011201,-93.090475,3.006882,-0.381339,0.172261
1.263248,0.022874,0.016939,-0.009716,-93.009009,2.339358,0.080987,0.152129
1.296581,0.017626,0.017212,-0.007113,-92.945175,1.828339,0.476544,0.175958
1.329914,0.012857,0.016101,-0.005920,-92.741996,1.440092,0.656131,0.151176
1.363247,0.013031,0.014441,-0.005756,-92.542960,1.286086,0.758214,0.050333
1.396579,0.013676,0.013883,-0.004385,-92.584976,1.404831,0.681385,0.048413
1.429912,0.014986,0.014058,-0.006141,-92.669053,1.771658,0.460962,0.065929
1.463245,0.016402,0.013786,-0.008930,-92.729903,2.152268,0.270380,0.094206
