timestamp,tx,ty,tz,roll,pitch,yaw,speed
-0.109178,0.000327,0.000659,0.001448,-90.046249,0.007757,0.006059,0.000000
-0.075845,0.004539,0.000607,0.004190,-89.814925,0.275628,0.223186,0.150766
-0.042512,0.007052,0.000896,0.009230,-89.570190,0.053504,0.198694,0.169174
-0.009180,0.007681,0.000447,0.011034,-89.321072,-0.196269,0.222503,0.058896
0.024153,0.004769,-0.001573,0.009486,-89.317938,-0.028966,0.350483,0.116019
0.057486,0.003599,-0.003010,0.007958,-89.444790,0.216751,0.478492,0.072067
0.090819,0.000355,-0.005388,0.005872,-89.496798,0.109113,0.419268,0.135925
0.124152,-0.002127,-0.008378,0.003608,-89.302733,-0.296858,0.334775,0.134907
0.157484,-0.002282,-0.008431,0.004579,-88.931639,-0.543941,0.271260,0.029513
0.190817,-0.002821,-0.009975,0.007460,-88.543093,-0.182420,0.316027,0.099392
0.224150,-0.002925,-0.013012,0.006529,-88.210150,0.210772,0.456363,0.095344
0.257483,-0.004028,-0.014873,0.005670,-87.939041,0.217860,0.492378,0.069836
0.290815,-0.005797,-0.016606,0.005705,-87.545614,-0.171368,0.447481,0.074302
0.324148,-0.007808,-0.017789,0.003847,-87.576073,0.173953,0.482783,0.089467
0.357481,-0.009225,-0.018999,0.000200,-88.123669,1.169273,0.743665,0.122873
0.390814,-0.010151,-0.018922,-0.002423,-88.430869,1.309912,0.690678,0.083480
0.424146,-0.010939,-0.021085,-0.003819,-88.366893,0.986825,0.537705,0.080752
0.457479,-0.013507,-0.025239,-0.003574,-88.128936,0.770232,0.531809,0.146708
0.490812,-0.014709,-0.027697,-0.003042,-87.825790,0.966629,0.704376,0.083624
0.524145,-0.016793,-0.030106,-0.002288,-87.500695,1.152002,1.035226,0.098205
0.557477,-0.017799,-0.033165,-0.001364,-87.015269,1.046654,1.118980,0.100497
0.590810,-0.019629,-0.034785,-0.000612,-86.742652,1.194924,1.240803,0.076702
0.624143,-0.020024,-0.034921,-0.001052,-86.850171,1.402400,1.289568,0.018201
0.657476,-0.019205,-0.033917,-0.002602,-87.081657,1.733212,1.285498,0.060606
0.690808,-0.018018,-0.034969,-0.003995,-87.065095,1.843158,1.294111,0.063324
0.724141,-0.020794,-0.039609,-0.005221,-86.960639,1.884709,1.069763,0.166339
0.757474,-0.019966,-0.039980,-0.005524,-86.905033,1.673686,0.912620,0.028690
0.790807,-0.018509,-0.039335,-0.005483,-86.961547,1.628657,0.889194,0.047835
0.824140,-0.020785,-0.042834,-0.004790,-86.926516,1.617504,0.830641,0.126958
0.857472,-0.022555,-0.044932,-0.004149,-86.848375,1.729590,0.768080,0.084547
0.890805,-0.022806,-0.045697,-0.004246,-86.797971,1.992077,0.757130,0.024356
0.924138,-0.024636,-0.048176,-0.004375,-86.652452,1.991868,0.649520,0.092504
0.957471,-0.024060,-0.046532,-0.005067,-86.691735,1.998594,0.403030,0.056232
0.990803,-0.022109,-0.044807,-0.006286,-87.024366,2.240533,0.260542,0.086259
1.024136,-0.024960,-0.045668,-0.006762,-87.080759,2.084311,-0.003366,0.090476
1.057469,-0.026437,-0.045692,-0.006740,-87.011383,1.739349,-0.278864,0.044330
1.090802,-0.028624,-0.047853,-0.006563,-86.974570,1.682741,-0.339401,0.092379
1.124134,-0.030883,-0.048680,-0.005204,-86.748130,1.911389,-0.250568,0.082879
1.157467,-0.033079,-0.049689,-0.004004,-86.292602,1.897804,-0.036758,0.080955
1.190800,-0.036395,-0.052055,-0.002938,-85.973322,1.669844,0.012955,0.126333
1.224133,-0.037755,-0.052188,-0.002632,-85.770286,1.349414,0.009863,0.042012
1.257465,-0.037488,-0.050022,-0.003323,-85.856292,1.343989,0.000330,0.068693
