timestamp,tx,ty,tz,roll,pitch,yaw,speed
489.285179,0.537661,1.902055,0.085717,-66.246517,-35.347256,-0.685962,0.000000
513.318099,0.536692,1.901833,0.075193,164.930583,-83.735557,128.951982,0.000440
514.551412,0.541280,1.898232,0.085387,-47.658719,-27.512496,-5.990680,0.009522
515.618060,0.534421,1.900508,0.079673,-59.695769,-56.804481,-5.847353,0.008636
517.018036,0.536927,1.901954,0.083110,-52.019052,-40.442151,-13.095457,0.003209
528.784500,0.538573,1.903485,0.084328,-66.029026,-36.850347,-3.081517,0.000217
530.017812,0.544991,1.903931,0.086141,-55.493252,-11.742545,1.786203,0.005419
531.151126,0.551429,1.902710,0.090478,-59.109231,18.016336,11.625301,0.006934
531.417788,0.547275,1.902879,0.088529,-70.460848,-15.752240,14.494697,0.017218
533.517752,0.549758,1.899539,0.087079,-47.402915,-11.464426,11.171658,0.002098
535.717714,0.560063,1.896258,0.091522,-54.870348,-33.839116,6.874235,0.005315
543.984239,0.561333,1.896615,0.091798,-45.209420,-57.336364,-12.106609,0.000163
544.950889,0.557620,1.899946,0.087015,51.041049,-78.379815,-108.390415,0.007149
549.817472,0.549562,1.896522,0.091544,-47.767467,-54.991230,-11.551421,0.002025
552.317429,0.557393,1.896542,0.095772,-53.352562,-29.917199,-11.555193,0.003560
554.484059,0.544392,1.897806,0.090301,-33.505674,-70.712917,-40.413659,0.006536
562.850581,0.540222,1.899194,0.086102,-52.267901,-43.608358,-13.935781,0.000727
563.483904,0.541854,1.899214,0.086734,-53.465065,-23.270205,-9.203936,0.002764
567.117175,0.546591,1.899753,0.085104,-58.549171,-14.107595,-10.448394,0.001387
570.383785,0.546312,1.900111,0.082505,-61.130830,-30.757536,-9.227736,0.000808
572.917075,0.530119,1.900854,0.089355,-71.967763,-50.972600,-21.892625,0.006947
580.550277,0.531272,1.898162,0.099542,-82.814292,-43.802320,-16.528553,0.001389
581.783589,0.540458,1.893963,0.106247,-82.713517,-62.603270,-6.479351,0.009830
584.950202,0.542960,1.894108,0.106666,-89.368631,-49.071080,-3.035817,0.000802
591.583421,0.541972,1.895999,0.106508,-94.487080,-49.531336,-7.926387,0.000323
593.050062,0.545129,1.894989,0.104343,-74.328940,-72.006326,-23.720932,0.002699
599.649949,0.545821,1.895097,0.104381,-71.447302,-71.649503,-25.187587,0.000106
