timestamp,tx,ty,tz,roll,pitch,yaw,speed
-0.107966,-0.013925,0.008456,0.021378,-90.826656,2.589546,-0.075148,0.000000
-0.074633,-0.030225,0.016298,0.046331,-91.535844,4.991675,-0.288321,0.924581
-0.041300,-0.047424,0.022376,0.072036,-91.340095,7.114585,-0.411442,0.945621
-0.007967,-0.063134,0.027926,0.093721,-91.605993,9.458659,-0.631078,0.820412
0.025365,-0.082704,0.032442,0.117494,-92.614512,11.582342,-1.331852,0.933661
0.058698,-0.102364,0.032648,0.142768,-92.593109,12.836738,-2.507080,0.960622
0.092031,-0.127375,0.032397,0.176093,-91.824507,13.487552,-3.955942,1.250054
0.125363,-0.150645,0.034220,0.205354,-91.069641,14.231189,-5.071607,1.122951
0.158696,-0.175423,0.037976,0.235139,-90.370980,15.209436,-5.932602,1.167786
0.192029,-0.188818,0.037868,0.252863,-89.575954,16.449242,-6.319524,0.666503
0.225362,-0.208289,0.044558,0.273072,-89.692529,17.456770,-6.894035,0.865478
0.258695,-0.231914,0.056772,0.303785,-90.254728,18.506895,-7.571814,1.218834
0.292027,-0.257646,0.070660,0.339624,-90.270640,19.423904,-8.102044,1.387685
0.325360,-0.284765,0.082200,0.372467,-90.176562,20.535366,-8.559315,1.323857
0.358693,-0.310930,0.097487,0.408625,-90.120634,21.722884,-9.034605,1.415331
0.392026,-0.328808,0.105324,0.438203,-89.621251,23.208196,-9.144787,1.063176
0.425358,-0.346548,0.110933,0.462275,-88.846123,24.396163,-9.143336,0.912758
0.458691,-0.370335,0.121495,0.497682,-88.732054,25.311761,-9.307725,1.318327
0.492024,-0.391059,0.127753,0.538735,-88.623248,27.183505,-9.013962,1.392338
0.525357,-0.408383,0.128350,0.571956,-87.133731,28.856723,-8.167687,1.124160
0.558689,-0.420927,0.122412,0.597594,-86.138268,29.548842,-8.062845,0.874642
0.592022,-0.432908,0.125159,0.639782,-86.748333,30.447633,-8.575392,1.318256
0.625355,-0.427012,0.123127,0.655323,-86.285198,32.043950,-7.666521,0.502376
0.658688,-0.437650,0.130627,0.696151,-87.033100,33.512653,-8.101275,1.285600
0.692020,-1.351076,0.369027,2.161808,-86.558454,34.878333,-8.228725,52.303131
0.725353,-1.361691,0.379426,2.246440,-86.085563,36.122422,-8.167760,2.577819
0.758686,-1.371894,0.395932,2.324030,-85.520121,37.337953,-7.990318,2.399426
0.792019,-1.379472,0.418120,2.410018,-84.986023,38.598087,-7.756764,2.673846
