timestamp,tx,ty,tz,roll,pitch,yaw,speed
-0.073077,0.011899,0.021617,0.009386,-88.335699,-0.967105,0.731657,0.000000
-0.039744,0.024413,0.042940,0.014494,-86.602011,-1.937329,1.322914,0.757410
-0.006411,0.040460,0.067757,0.019477,-84.584669,-3.362544,1.923113,0.899097
0.026922,0.055927,0.091710,0.020511,-83.100568,-4.415132,2.781538,0.855939
0.060255,0.063139,0.111448,0.021954,-82.040324,-4.105741,3.392710,0.631927
0.093587,0.078309,0.136144,0.026347,-80.720138,-3.511053,4.272038,0.879470
0.126920,0.088241,0.159401,0.029265,-80.011266,-3.491824,4.585946,0.763705
0.160253,0.099990,0.188987,0.034113,-81.454677,-3.453870,4.702548,0.966034
0.193586,0.105385,0.212414,0.037886,-83.702172,-3.389273,4.595956,0.730028
0.226918,0.116331,0.231262,0.040060,-85.520025,-3.101118,4.796334,0.657152
0.260251,0.125694,0.246874,0.043269,-86.003825,-3.241189,5.001248,0.554550
0.293584,0.124420,0.254830,0.043698,-84.493395,-4.701719,5.015408,0.242075
0.326917,0.118437,0.261233,0.043847,-82.940195,-7.740046,4.571704,0.262947
0.360249,0.125241,0.269206,0.042366,-82.445921,-9.989768,4.670522,0.317584
0.393582,0.128790,0.274667,0.043332,-82.534556,-10.161522,4.909100,0.197529
0.426915,0.137971,0.276176,0.044447,-83.063465,-9.384777,5.832743,0.281103
0.460248,0.147251,0.281225,0.047744,-83.637852,-8.385838,6.369549,0.332020
0.493580,0.148729,0.280911,0.048859,-83.691772,-8.264556,6.408656,0.056348
0.526913,0.150462,0.277672,0.048823,-83.199465,-8.633319,6.362989,0.110190
0.560246,0.152258,0.275806,0.050064,-82.035651,-8.997873,6.610214,0.086168
0.593579,0.161260,0.280341,0.052558,-81.592977,-9.081578,7.317460,0.311514
0.626912,0.153411,0.274195,0.053269,-82.584148,-8.344748,6.658939,0.299842
0.660244,0.162924,0.284887,0.056719,-84.257971,-7.428416,6.038960,0.441673
0.693577,0.177456,0.294797,0.063089,-85.427199,-6.866315,5.527813,0.561209
0.726910,0.174590,0.288508,0.062181,-85.720724,-6.840256,4.603848,0.209094
0.760243,0.178099,0.290055,0.061323,-86.080641,-6.698217,4.342377,0.117889
0.793575,0.184585,0.287422,0.060144,-85.638976,-6.375895,4.660388,0.212966
0.826908,0.195968,0.290190,0.061953,-84.716919,-6.247332,5.192736,0.355618
0.860241,0.197774,0.283721,0.059653,-83.868057,-6.350848,4.940386,0.212973
0.893574,0.193963,0.282475,0.059640,-83.718575,-6.067826,4.268237,0.120290
0.926906,0.211709,0.290674,0.060600,-84.286319,-5.446019,4.753703,0.587189
0.960239,0.228447,0.300577,0.065632,-85.078683,-4.663138,5.034561,0.602657
0.993572,0.225271,0.301020,0.066800,-85.278236,-3.957749,4.061773,0.102372
1.026905,0.222499,0.299743,0.066294,-85.200221,-3.536246,3.232049,0.092812
1.060237,0.231655,0.304211,0.067973,-84.821198,-3.107750,3.088662,0.309776
1.093570,0.236201,0.309548,0.071121,-84.872161,-3.054925,2.999914,0.230554
1.126903,0.231272,0.316174,0.071507,-86.001706,-3.206828,2.148859,0.248012
1.160236,0.227506,0.317753,0.069557,-86.994824,-4.265687,1.639936,0.135771
1.193568,0.234478,0.320397,0.071984,-86.901689,-5.034454,1.451765,0.235259
1.226901,0.233349,0.319378,0.072751,-86.912116,-5.349620,1.238286,0.051090
1.260234,0.236491,0.319220,0.075935,-87.731541,-5.501181,1.361678,0.134270
1.293567,0.231925,0.313209,0.075923,-87.934492,-5.424904,1.228624,0.226481
1.326899,0.235651,0.307923,0.077614,-87.970173,-5.476862,1.375216,0.200551
1.360232,0.236021,0.299458,0.078311,-88.063497,-5.561623,1.503671,0.255034
1.393566,0.236676,0.291259,0.079363,-88.022355,-5.857983,1.651684,0.248766
